Type,Num,Heure,Destination,Information,Voie
TER,849902,07h10,LAON,,20
Intercités,12302,07h26,MAUBEUGE,ARRIVÉ,7
Intercités,12004,07h32,AMIENS,,13
Thalys,9300,07h35,BRUXELLES-M.,,8
TGV,7100,07h38,VALENCIENNES,,11
TGV,7406,07h44,LILLE FLANDR,,
TGV,7206,07h44,TOURCOING,,
TER,847806,07h47,COMPIEGNE,,
TER,848504,07h50,AMIENS,,
TER,847904,07h53,ST-QUENTIN,,
TER,847414,07h55,BEAUVAIS,,
Intercités,2006,07h56,BOULOGNE-V.,,
,7008,08h02,LILLE FLANDR,,
TGV,7102,08h08,VALENCIENNES,,
TGV,7302,08h08,DUNKERQUE-V.,,
TER,847808,08h11,COMPIEGNE,,
,7216,08h14,CALAIS-VILLE,,
TGV,7214,08h14,DUNKERQUE-V.,,
TER,847844,08h17,COMPIEGNE,,
TER,847416,08h23,BEAUVAIS,,
