Type,Num,Heure,Destination,Information,Voie
Thalys,9366,18h59,BRUXELLES-M.,ARRIVÉ,9
TGV,7148,19h08,VALENCIENNES,,13
TGV,7348,19h08,DUNKERQUE-V.,,13
TER,847826,19h11,COMPIEGNE,,18
,7076,19h14,LILLE FLANDR,,14
Intercités,12328,19h23,ST-QUENTIN,,
TER,847446,19h23,BEAUVAIS,,
Intercités,12030,19h32,AMIENS,,
Thalys,9370,19h35,BRUXELLES-M.,,
TER,849940,19h39,LAON,,
TGV,7082,19h44,LILLE FLANDR,,
Eurostar,9040,19h47,LONDON,,
Eurostar,9040,19h47,ST PANCRAS,,
TER,848528,19h50,ST-JUST,,
TER,847450,19h53,BEAUVAIS,,
Intercités,2032,19h56,ABBEVILLE,,
Thalys,9472,19h59,KOLN,,
TER,847828,20h11,COMPIEGNE,,
TGV,7288,20h14,DUNKERQUE-V.,,
TER,847842,20h32,COMPIEGNE,,
