Type,Num,Heure,Destination,Information,Voie
TER,847802,06h11,COMPIEGNE,,9
TER,847402,06h25,BEAUVAIS,,19
TER,849900,06h40,LAON,,20
TER,848502,06h50,LONGUEAU,,18
Intercités,12300,06h53,ST-QUENTIN,,15
TER,847406,06h55,BEAUVAIS,,21
Intercités,12002,06h56,AMIENS,,16
TGV,7000,07h08,LILLE FLANDR,,14
TGV,7000,07h08,ARRAS,,14
TER,849902,07h10,LAON,,20
TER,847804,07h11,COMPIEGNE,,17
TER,847606,07h23,CREIL,,19
TER,847408,07h25,BEAUVAIS,,18
Intercités,12302,07h26,MAUBEUGE,,7
Intercités,12004,07h32,AMIENS,,13
Thalys,9300,07h35,BRUXELLES-M.,,8
TGV,7100,07h38,VALENCIENNES,,11
TGV,7406,07h44,LILLE FLANDR,,12
TGV,7206,07h44,TOURCOING,,12
TER,847806,07h47,COMPIEGNE,ARRIVÉ,15
TER,848504,07h50,AMIENS,,17
TER,847904,07h53,ST-QUENTIN,,18
TER,847414,07h55,BEAUVAIS,,21
Intercités,2006,07h56,BOULOGNE-V.,,16
,7008,08h02,LILLE FLANDR,,10
TGV,7102,08h08,VALENCIENNES,,14
TGV,7302,08h08,DUNKERQUE-V.,,14
TER,847808,08h11,COMPIEGNE,,15
,7216,08h14,CALAIS-VILLE,,11
TGV,7214,08h14,DUNKERQUE-V.,,11
TER,847844,08h17,COMPIEGNE,,19
TER,847416,08h23,BEAUVAIS,,21
TER,847608,08h23,CREIL,,9
TER,849908,08h26,LAON,,18
Intercités,2304,08h29,CAMBRAI,,12
TER,848510,08h32,AMIENS,,10
Thalys,9304,08h35,BRUXELLES-M.,,8
TGV,7304,08h38,HAZEBROUCK,,13
TER,847622,08h41,CREIL,ARRIVÉ,15
,7020,08h44,LILLE FLANDR,,11
TER,847610,08h50,CREIL,,18
TER,847906,08h53,ST-QUENTIN,,14
TER,847420,08h55,BEAUVAIS,,20

Intercités,12010,08h57,AMIENS,,

Thalys,9406,08h59,LIEGE,,9
Thalys,9308,09h05,OOSTENDE,ARRIVÉ,7
TGV,7106,09h08,VALENCIENNES,,13
TER,847810,09h11,COMPIEGNE,ARRIVÉ,10
,7228,09h14,RANGDUFLIERS,,11
,9080,09h17,LONDON,,6
,9080,09h17,ST PANCRAS,,6
Intercités,12308,09h23,MAUBEUGE,,12
TER,849912,09h27,LAON,,18

,7536,10h14,RANGDUFLIERS,,7
Eurostar,9004,10h17,LONDON,,5
Eurostar,9004,10h17,ST PANCRAS,,5
Thalys,9316,10h35,BRUXELLES-M.,,8

TER,848514,10h50,ST-JUST,,

TER,849918,11h12,LAON,,19
TGV,7040,11h14,LILLE FLANDR,,12
Eurostar,9008,11h17,LONDON,,4
Eurostar,9008,11h17,ST PANCRAS,,4
Intercités,12016,11h32,AMIENS,,16
Thalys,9422,11h35,BRUXELLES-M.,,8
Thalys,9322,11h35,AMSTERDAM,,16
TER,847612,11h41,CREIL,,10
Eurostar,9010,11h47,LONDON,,5
Eurostar,9010,11h47,ST PANCRAS,,5
Intercités,12312,11h53,ST-QUENTIN,,15
TER,847426,11h57,BEAUVAIS,,17
Thalys,9424,11h59,KOLN,,7
TGV,7318,12h08,DUNKERQUE-V.,,14
,7546,12h14,BOULOGNE-V.,,11
TER,848516,12h32,AMIENS,ARRIVÉ,10
Thalys,9328,12h35,AMSTERDAM,,8
,7248,12h44,TOURCOING,,13
Eurostar,9014,12h47,LONDON,,3
Eurostar,9014,12h47,ST PANCRAS,,3
Intercités,847910,12h53,ST-QUENTIN,,11
Intercités,2018,12h56,ABBEVILLE,,15
TER,847428,12h57,BEAUVAIS,,18
TER,849922,13h00,LAON,,17
TER,847818,13h11,COMPIEGNE,,13

Eurostar,9018,13h47,LONDON,,5
Eurostar,9018,13h47,ST PANCRAS,,5
TER,848518,13h50,ST-JUST,,19
Intercités,12316,13h53,MAUBEUGE,,16
TER,847430,13h57,BEAUVAIS,,21
Thalys,9338,14h05,BRUXELLES-M.,,9
TGV,7124,14h08,VALENCIENNES,,12
TER,847614,14h11,CREIL,,10
,7550,14h14,BOULOGNE,,14
,7552,14h14,DUNKERQUE-V.,,14
TER,849928,14h17,LAON,,21
Intercités,12020,14h32,AMIENS,,17
Thalys,9440,14h35,BRUXELLES,,8
Thalys,9340,14h35,AMSTERDAM,,8
Eurostar,9022,14h47,LONDON,,4
Eurostar,9022,14h47,ST PANCRAS,,4
TER,847432,14h57,BEAUVAIS,,18
TGV,7254,15h14,CALAIS-VILLE,,14
Intercités,12318,15h23,ST-QUENTIN,,15
TER,849930,15h42,LAON,,20
Eurostar,9024,15h47,LONDON,,5
Eurostar,9024,15h47,ST PANCRAS,,5
TER,847434,15h57,BEAUVAIS,,18
Thalys,9448,15h59,ESSEN,,7
TGV,7136,16h08,VALENCIENNES,,11
TGV,7336,16h08,DUNKERQUE-V.,,11
TER,847616,16h11,CREIL,,15
TGV,7058,16h14,LILLE FLANDR,,14
TER,848522,16h32,AMIENS,,18
Thalys,9452,16h35,BRUXELLES,,9
Thalys,9352,16h35,AMSTERDAM,,9
Eurostar,9028,16h47,LONDON,,3
Eurostar,9028,16h47,ST PANCRAS,,3
Intercités,2022,16h56,BOULOGNE-V.,,10
TER,847822,17h11,COMPIEGNE,,8
TGV,7066,17h14,LILLE FLANDR,,13
Intercités,12322,17h23,MAUBEUGE,SUPPRIMÉ,
Thalys,9358,17h35,BRUXELLES-M.,,8
,7070,17h44,LILLE FLANDR,,12
Eurostar,9032,17h47,LONDON,,5
Eurostar,9032,17h47,ST PANCRAS,,5
TER,848548,17h50,ST-JUST,,19
TER,847438,17h53,BEAUVAIS,,20
TER,847912,17h53,ST-QUENTIN,,17
Thalys,9362,18h05,BRUXELLES-M.,,7

,7142,18h08,VALENCIENNES,,14
TGV,7342,18h08,DUNKERQUE-V.,,14
TER,847824,18h11,COMPIEGNE,,13
,7572,18h14,RANGDUFLIERS,,12
TER,847440,18h23,BEAUVAIS,,21
Intercités,12026,18h32,AMIENS,,10
Thalys,9464,18h35,BRUXELLES,,8
Thalys,9364,18h35,AMSTERDAM,,8
TER,849936,18h40,LAON,,20
TGV,7074,18h44,LILLE FLANDR,,16
Eurostar,9036,18h47,LONDON,,4
Eurostar,9036,18h47,ST PANCRAS,,4
TER,848526,18h50,ST-JUST,ARRIVÉ,19
Intercités,12326,18h53,ST-QUENTIN,,17
TER,847444,18h53,BEAUVAIS,,21
Thalys,9366,18h59,BRUXELLES-M.,,9
TGV,7148,19h08,VALENCIENNES,,13
TGV,7348,19h08,DUNKERQUE-V.,,13
TER,847826,19h11,COMPIEGNE,,18
,7076,19h14,LILLE FLANDR,,14
Intercités,12328,19h23,ST-QUENTIN,ARRIVÉ,16
Intercités,12030,19h32,AMIENS,ARRIVÉ,10
Thalys,9370,19h35,BRUXELLES-M.,,8
TER,849940,19h39,LAON,,20
TGV,7082,19h44,LILLE FLANDR,,12
Eurostar,9040,19h47,LONDON,,6
Eurostar,9040,19h47,ST PANCRAS,,6
TER,848528,19h50,ST-JUST,,15
TER,847450,19h53,BEAUVAIS,,19
Intercités,2032,19h56,ABBEVILLE,,9
Thalys,9472,19h59,KOLN,,7
TER,847828,20h11,COMPIEGNE,ARRIVÉ,11
TGV,7288,20h14,DUNKERQUE-V.,,13
TER,847842,20h32,COMPIEGNE,,12
Thalys,9476,20h35,BRUXELLES,,9
,7290,20h41,BOULOGNE-V.,,14
TER,849944,20h42,LAON,,20
Eurostar,9044,20h47,LONDON,,4
Eurostar,9044,20h47,ST PANCRAS,,4
TER,847914,20h53,ST-QUENTIN,,15
TGV,7154,21h08,VALENCIENNES,SUPPRIMÉ,11
Eurostar,9046,21h17,LONDON,,5
Eurostar,9046,21h17,ST PANCRAS,,5
TER,847454,21h27,BEAUVAIS,,19
Intercités,12034,21h32,AMIENS,,12
Thalys,9382,21h38,AMSTERDAM,,8
TER,847830,21h41,COMPIEGNE,,19
,7094,21h44,LILLE FLANDR,,14
,9048,21h47,LONDON,,6
,9048,21h47,ST PANCRAS,,6
Intercités,12332,21h53,MAUBEUGE,Retard : 01 h 00 mn,15
TER,849946,21h58,LAON,,17
Thalys,9484,21h59,ESSEN,,10
TGV,7356,22h08,DUNKERQUE-V.,,12
Eurostar,9050,22h17,LONDON,,3
Eurostar,9050,22h17,ST PANCRAS,,3
Thalys,9488,22h35,BRUXELLES,,9
Thalys,9388,22h35,AMSTERDAM,,9
TGV,7096,22h38,LILLE FLANDR,,14
TER,849950,22h57,LAON,,17
Eurostar,9054,23h17,LONDON,,4
Eurostar,9054,23h17,ST PANCRAS,,4
TER,848536,23h32,CREIL,,16
