Type,Num,Heure,Destination,Information,Voie
Transilien,121629,19h30,CREPY,,32
Transilien,124037,19h30,ST-LEU,,34
Thalys,9483,19h34,LIEGE,,9
TER,847447,19h36,BEAUVAIS,,18
Intercités,12323,19h37,MAUBEUGE,,15
Transilien,124357,19h38,VALMONDOIS,,36
Transilien,125789,19h40,PERSAN-BT.,,31
Transilien,123583,19h41,PONTOISE,,35
Transilien,125113,19h43,SARCELLES,,30
Transilien,124039,19h45,ST-LEU,,34
,7083,19h46,LILLE FLANDR,,
TER,847823,19h49,COMPIEGNE,,
TGV,7151,19h52,VALENCIENNES,,
Transilien,124677,19h56,PERSAN-BT.,,
TER,847449,20h01,BEAUVAIS,,
Intercités,12025,20h04,AMIENS,,
Transilien,125493,20h04,LUZARCHES,,
TER,847913,20h07,ST-QUENTIN,,
TER,849937,20h08,LAON,,
TER,848537,20h10,ST-JUST,,
