Type,Num,Heure,Destination,Information,Voie
Transilien,129009,04h51,CREIL,,20
,EEVE01,04h53,CDG2,,32
Transilien,127407,05h08,GOUSSAINVILL,,21
Transilien,125401,05h19,LUZARCHES,,30
Transilien,124301,05h26,VALMONDOIS,,34
Transilien,125701,05h34,PERSAN-BT.,,31
Transilien,123401,05h41,PONTOISE,,34
Transilien,125405,05h49,LUZARCHES,,30
Transilien,124303,05h56,VALMONDOIS,,34
Thalys,9401,05h57,ESSEN,,9
Transilien,125001,05h58,SARCELLES,,31
TER,849903,06h03,LAON,,17
TER,847401,06h05,BEAUVAIS,,18
Transilien,125707,06h10,PERSAN-BT.,,30
Transilien,123403,06h11,PONTOISE,,34
Transilien,125003,06h13,SARCELLES,,32
Transilien,125413,06h25,LUZARCHES,,31
Thalys,9403,06h25,BRUXELLES,,8
Thalys,9403,06h25,AEROPORT,,8
Thalys,9303,06h25,AMSTERDAM,,8
Transilien,124605,06h26,PERSAN-BT.,,34
Intercités,12001,06h28,AMIENS,,16
Transilien,125005,06h28,SARCELLES,,30
TER,847901,06h31,ST-QUENTIN,,14
TER,847405,06h35,BEAUVAIS,,18
Transilien,125713,06h40,PERSAN-BT.,,31
Transilien,121505,06h41,CREPY,,32
Transilien,123409,06h41,PONTOISE,,35
Transilien,125007,06h43,SARCELLES,,30
Transilien,124001,06h45,ST-LEU,,34
TGV,7505,06h46,BOULOGNE-V,,11
TGV,7205,06h46,DUNKERQUE,,11
TER,847801,06h49,COMPIEGNE,,19
Transilien,125417,06h55,LUZARCHES,,31
Thalys,9305,06h55,BRUXELLES-M.,,7
Transilien,123413,06h56,PONTOISE,,35
Transilien,125009,06h58,SARCELLES,,30
Intercités,2003,06h58,ABBEVILLE,,13
Transilien,124609,07h00,PERSAN-BT.,,34
TER,849907,07h05,LAON,,20
Transilien,125717,07h10,PERSAN-BT.,,31
TER,848501,07h10,ST-JUST,,18
Transilien,123417,07h11,PONTOISE,,35
Transilien,125011,07h13,SARCELLES,,30
Eurostar,9007,07h13,LONDON ST P.,,..
Transilien,124003,07h15,ST-LEU,,34
TGV,7007,07h16,LILLE FLANDR,,12
Transilien,125423,07h25,LUZARCHES,,31
Thalys,9409,07h25,BRUXELLES-M.,,8
Thalys,9309,07h25,AMSTERDAM,,8
Transilien,123423,07h26,PONTOISE,,35
Intercités,12005,07h28,AMIENS,,18
Transilien,125015,07h28,SARCELLES,,30
Transilien,124611,07h30,PERSAN-BT.,,34
TER,847601,07h31,CREIL,,17
TER,847407,07h35,BEAUVAIS,,21
Intercités,12301,07h37,MAUBEUGE,,15
Transilien,125723,07h40,PERSAN-BT.,,31
Transilien,123427,07h41,PONTOISE,,35
Transilien,125017,07h43,SARCELLES,,30
Eurostar,9009,07h43,LONDON ST P.,,..
Transilien,124005,07h45,ST-LEU,,34
TGV,7513,07h46,BOULOGNE-V,,14
TGV,7511,07h46,DUNKERQUE,,14
TER,847605,07h49,CREIL,,19
TGV,7305,07h52,DUNKERQUE,,10
TGV,7105,07h52,VALENCIENNES,,10
Transilien,125429,07h55,LUZARCHES,,31
Transilien,123433,07h56,PONTOISE,,35
Transilien,125021,07h58,SARCELLES,,30
Transilien,121515,08h00,CREPY,,33
