Type,Numéro,Destination,Horaire
Transilien,25401,Luzarches,05h19
Transilien,24301,Valmondois,05h26
Transilien,25701,Persan-Beaumont,05h34
Thalys,9401,Essen Hbf,06h01
TER,49903,Laon,06h03
TER,47401,Beauvais,06h05
Thalys,9303,Amsterdam CS,06h25
Thalys,9403,Bruxelles-National-Aéroport,06h25
Intercités,12001,Amiens,06h28
TER,47901,Saint-Quentin,06h31
TGV,7505,Boulogne-Ville,06h46
TGV,7205,Dunkerque,06h46
TER,47801,Compiègne,06h49
Thalys,9305,Bruxelles Midi,06h55
Intercités,2003,Abbeville,06h58
TER,48501,Saint-Just en Chaussée,07h10
Eurostar,9007,London St. Pancras EST,07h13
TGV,7007,Lille-Flandres,07h16
Thalys,9309,Amsterdam CS,07h25
Thalys,9409,Bruxelles Midi,07h25
Transilien,25423,Luzarches,07h25
Transilien,23423,Pontoise,07h26
Intercités,12005,Amiens,07h28
Transilien,25015,Sarcelles Saint-Brice,07h28
TER,47601,Creil,07h31
TER,47407,Beauvais,07h35
Intercités,12301,Maubeuge,07h37
Eurostar,9009,London St. Pancras EST,07h43
TGV,7513,Boulogne-Ville,07h46
TGV,7511,Dunkerque,07h46
TGV,7105,Valenciennes,07h52
Thalys,9413,Cologne Hbf,08h01
Intercités,12303,Saint-Quentin,08h07
TGV,7015,Lille-Flandres,08h16
TER,49911,Laon,08h34
TER,47803,Compiègne,08h49
TER,47411,Beauvais,08h50
Thalys,9319,Bruxelles Midi,09h01
Intercités,12305,Saint-Quentin,09h07
TGV,7223,Calais-Ville,09h46
Intercités,2009,Boulogne-Ville,09h58
Intercités,12307,Maubeuge,10h37
TGV,7113,Valenciennes,10h52
Transilien,24625,Persan-Beaumont,10h56
TER,47417,Beauvais,11h01
TER,48507,Saint-Just en Chaussée,11h10
Eurostar,9023,London St. Pancras EST,11h13
Thalys,9333,Bruxelles Midi,11h25
TGV,7535,Rang du Fliers-Verton,11h46
TER,49917,Laon,11h58
TER,47419,Beauvais,12h01
Thalys,9437,Essen Hbf,12h01
Intercités,12309,Saint-Quentin,12h07
TER,47609,Creil,12h10
Thalys,9339,Amsterdam CS,12h25
Intercités,12011,Amiens,12h28
Eurostar,9029,London St. Pancras EST,12h43
TGV,7043,Lille-Flandres,12h46
TER,47807,Compiègne,12h49
TGV,7321,Dunkerque,12h52
Thalys,9341,Bruxelles Midi,12h55
Eurostar,9031,London St. Pancras EST,13h13
TGV,7045,Lille-Flandres,13h16
TER,49921,Laon,13h26
Intercités,2013,Abbeville,13h59
TER,47905,Saint-Quentin,14h07
TER,47613,Creil,14h19
Thalys,9351,Amsterdam CS,14h25
Thalys,9451,Bruxelles Midi,14h25
TER,47809,Compiègne,14h49
TGV,7331,Dunkerque,14h52
TGV,7131,Valenciennes,14h52
Transilien,25453,Luzarches,15h04
Transilien,23479,Pontoise,15h11
