Type,Numéro,Destination,Horaire
Transilien,RER D,Corbeil-Essonnes,17h21
Transilien,RER B,Mitry-Claye,17h21
Transilien,RER E,Tournan,17h21
TGV,7339,Dunkerque,17h22
Transilien,RER D,Orry la Ville-Coye,17h23
Transilien,24649,Persan-Beaumont,17h23
Transilien,RER B,St-Rémy-les-Chevreuse,17h23
Transilien,RER B,Aéroport Charles-de-Gaulle 2,17h24
Transilien,RER E,Chelles-Gournay,17h24
Transilien,RER E,Haussmann Saint-Lazare,17h24
Thalys,9369,Amsterdam CS,17h25
Thalys,9469,Bruxelles Midi,17h25
Transilien,25471,Luzarches,17h25
Transilien,RER B,Orsay Ville,17h26
Transilien,23521,Pontoise,17h26
Transilien,RER D,Melun,17h27
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,17h27
TER,48525,Amiens,17h28
TER,47435,Beauvais,17h35
Intercités,2315,Cambrai,17h37
TGV,7569,Rang du Fliers-Verton,17h46
TER,47817,Compiègne,17h49
TER,49931,Laon,17h51
TGV,7141,Valenciennes,17h52
Thalys,9473,Essen Hbf,17h58
TER,47911,Saint-Quentin,18h04
Eurostar,9051,London St. Pancras EST,18h13
TGV,7471,Lille-Flandres,18h16
TGV,7271,Tourcoing,18h16
TGV,7343,Hazebrouck,18h22
Thalys,9375,Ostende,18h25
TER,48529,Longueau,18h28
Intercités,12319,Maubeuge,18h37
TGV,7277,Boulogne-Ville,18h46
